titleId;ordering;title;region;language;types;attributes;isOriginalTitle;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes;pais
tt5813916;1;Dag II;\N;\N;original;\N;1;tt5813916;movie;The Mountain II;Dag II;0;2016;\N;135;Action,Drama,War;8.2;111782;Turquia
tt5827916;1;A Hidden Life;\N;\N;original;\N;1;tt5827916;movie;A Hidden Life;A Hidden Life;0;2019;\N;174;Biography,Drama,Romance;7.4;30635;Reino Unido, Alemanha, Estados Unidos da América
tt5848272;1;Ralph Breaks the Internet;\N;\N;original;\N;1;tt5848272;movie;Ralph Breaks the Internet;Ralph Breaks the Internet;0;2018;\N;112;Adventure,Animation,Comedy;7.0;196901;Estados Unidos da América
tt5895028;1;13th;\N;\N;original;\N;1;tt5895028;movie;13th;13th;0;2016;\N;100;Crime,Documentary,History;8.2;38656;Estados Unidos da América
tt5932728;1;The Professor and the Madman;\N;\N;original;\N;1;tt5932728;movie;The Professor and the Madman;The Professor and the Madman;0;2019;\N;124;Biography,Drama,History;7.2;53468;Estados Unidos da América, México, Reino Unido, França, Bélgica, Islândia, Irlanda, Hong Kong
tt5971474;1;The Little Mermaid;\N;\N;original;\N;1;tt5971474;movie;The Little Mermaid;The Little Mermaid;0;2023;\N;135;Adventure,Family,Fantasy;7.2;173513;Estados Unidos da América
tt6048922;1;Greyhound;\N;\N;original;\N;1;tt6048922;movie;Greyhound;Greyhound;0;2020;\N;91;Drama,History,War;7.0;125446;Estados Unidos da América, Canadá, China
tt6053438;1;First Reformed;\N;\N;original;\N;1;tt6053438;movie;First Reformed;First Reformed;0;2017;\N;113;Drama,Mystery,Thriller;7.1;65609;Estados Unidos da América, Reino Unido, Austrália
tt6146586;1;John Wick: Chapter 3 - Parabellum;\N;\N;original;\N;1;tt6146586;movie;John Wick: Chapter 3 - Parabellum;John Wick: Chapter 3 - Parabellum;0;2019;\N;130;Action,Crime,Drama;7.4;459267;Estados Unidos da América, Marrocos, Ucrânia, Itália
tt6155172;1;Roma;\N;\N;original;\N;1;tt6155172;movie;Roma;Roma;0;2018;\N;135;Drama;7.6;174823;México, Estados Unidos da América
